N, epsilon, method, forward, backward, central, upwind, downwind
8,0.01,Arc Length,2.6160742225557767,3.010384357608856,0.6226671879417407,0.22427782499922794,3.786073922638055
8,0.01,Curvature,13.170632809602136,12.055195875234011,0.40563079013668324,0.26143129244744734,3.1025612349827614
16,0.01,Arc Length,8.432951493730465,15.791823930801693,0.04866981799235888,0.17588518603805472,155.1476004216597
16,0.01,Curvature,5.124421370156409,5.125264911461804,0.010549408650367544,0.14635107347603965,19.62900013272304
32,0.01,Arc Length,0.1583372725293511,0.7259100368035646,0.021179472864430456,0.11283659332780341,17.67490760578593
32,0.01,Curvature,3.1979847121489864,23.43332871738772,0.002254868396770471,0.07441897136899958,209.04920204400253
64,0.01,Arc Length,3.1154263875622927,41.15511393594565,0.007786123878799676,0.06507216888019912,3.7930669062346123
64,0.01,Curvature,5.389864118779687,25.781453459514143,0.0005301271412844308,0.0375113706718595,6.518601413032787
128,0.01,Arc Length,1.8003926189425465,0.1601638986686893,0.002677109353683988,0.03665663524554108,2.1131302209172125
128,0.01,Curvature,3.3364883433379555,3.6214133253421044,0.00012854109561277424,0.01877204241324515,2.8859107406222826
256,0.01,Arc Length,0.04113805488039539,0.03221605435270783,0.000715234489107053,0.019714929569632833,0.034677586193266635
256,0.01,Curvature,0.016601436794594398,0.01865602216906142,3.0570202695579614e-05,0.009367534435023417,0.01935805982429284
512,0.01,Arc Length,0.012904212023635994,0.012884500616523936,0.00019790122416950447,0.010428360878592974,0.012950178144805063
512,0.01,Curvature,0.004723871202983482,0.0047101412250130925,7.344561451792667e-06,0.004681839777656849,0.004698957562136841
8,0.001,Arc Length,10.796521473139551,11.589706865255147,0.6511120566767196,0.27228148890265935,1.624194369929739
8,0.001,Curvature,59.56810229130057,4.341246703520469,0.8658364891679877,0.29401403031015566,119.94557879594817
16,0.001,Arc Length,48.844423482143334,102.87459105449777,0.8292597280352927,4.940991216999503,11.04510725239418
16,0.001,Curvature,22.33993062227778,5.395596771757672,0.014352510453642761,0.1719494194685471,9.493864698670757
32,0.001,Arc Length,53.46712891299989,412.3034879370014,0.024508433749211318,0.12979875558529064,348.16094753576914
32,0.001,Curvature,57.325199499383764,3.326664933833815,0.0032155619641586666,0.08284226351337293,578.4078249610753
64,0.001,Arc Length,32.16106876091379,2.3584740939655733,0.013624883058494488,0.07910028737229394,14.160779811109009
64,0.001,Curvature,2.924734708451068,2.9883382835919345,0.000711788854266005,0.040269050912386584,124.78572256682085
