N, epsilon, method, forward, backward, central, upwind, downwind
32,1e-06,Arc Length,51.00198105120592,0.014629685959908321,0.91578782145823,1.8995633103546574e-05,1.0193965559767693
32,1e-06,Curvature,5113.948270286753,15.884616537066602,0.9947237152331844,0.2032172896926309,2434.8749302458436
64,1e-06,Arc Length,2203.6469523346545,7.179711371749884,0.9581129236720487,0.14026758502311643,34.0482614152778
64,1e-06,Curvature,135.57737549505563,69.55334149445919,0.0012583126079199827,0.04656316572431865,125.0057100269153
128,1e-06,Arc Length,287.10658968351095,0.008524566773844104,0.9791083908453578,0.07810126218698582,88586.41560720751
128,1e-06,Curvature,22.344268223707942,20.58815140198487,0.00016100349840333255,0.02096352665087739,9.952282769705835
256,1e-06,Arc Length,23443.815622827813,60.23295232449318,0.9895677940592424,0.03311809399031686,24495866649.087223
256,1e-06,Curvature,13.233057680535161,12.177230064064934,4.1350757474453125e-05,0.010117793284152493,13254.168304177476
512,1e-06,Arc Length,1588.9703871833258,498.8534595766688,0.9948737279879996,0.019551979702424074,1.1441144763837279
512,1e-06,Curvature,23.231392049333632,3.501314995412398,9.758127759435332e-06,0.004944904139833561,994.6785035937979
8,1e-07,Arc Length,12.181119192819496,5.818262310404877,0.6521737851783165,2.0761815690301195,1.0900062318230221
8,1e-07,Curvature,1.1834711969491163,4.02774124196096,0.9844259375202948,1.0651974276102176,1.0195758598078744
16,1e-07,Arc Length,245.9607379906182,6.015932610805721,0.829787133130205,0.23710956400252026,1.0253767945479828
16,1e-07,Curvature,31.80995668627422,47.90269762841908,0.9977239834280601,0.0029287689976705265,196.75462091407852
32,1e-07,Arc Length,52.62625257891724,156.15003667873538,0.9157893310517187,0.19818865487158402,1.4870546824991833
32,1e-07,Curvature,0.23460317691397167,7.721181115377493,0.9942383804489793,33.6826090921063,21.652688566067635
64,1e-07,Arc Length,154.91123279738304,59.3636376073644,0.9581149264127986,0.12485621921690226,1.8590976815905154
64,1e-07,Curvature,0.18958330263799233,189.41319889983106,0.9914005538999262,0.22066286467909377,1.730134730842942
128,1e-07,Arc Length,4053.999055196277,35337.49432873462,0.9791117979342483,0.08174881067435949,42072.322492201034
128,1e-07,Curvature,271.7280714303766,977.7676558019191,0.0001860797636287061,0.020531273805423966,33356.696356355664
256,1e-07,Arc Length,536.099448041753,79162.33929105746,0.9895689302413063,0.04313239850290709,75690.12372370418
256,1e-07,Curvature,5873131.856244131,50.189589835939856,4.413708880612901e-05,0.010104063103216154,148.3976713747575
512,1e-07,Arc Length,1108.3800192917356,74.28011721165225,0.9947870415736596,0.023577944236014545,226530555481.861
512,1e-07,Curvature,111016.30050263766,162.4504191032765,9.990353529957287e-06,0.005011617486607972,146.90549862792585
