N, epsilon, method, forward, backward, central, upwind, downwind
8,0.01,Arc Length,2.9843673697385937,3.394382761927951,0.06426236365919466,0.0773437223750244,1.1346168554622273
8,0.01,Curvature,0.42130870632670314,0.4213087063267533,0.04000613036249295,0.06962432251817996,0.9678548196404774
16,0.01,Arc Length,0.19049092068428375,0.3086875888626247,0.008526695299327258,0.043882966982130345,1.672755344416157
16,0.01,Curvature,0.0754216785832239,0.06255584577733553,0.008066232522944972,0.03307027461225298,0.09037123918944004
32,0.01,Arc Length,0.043799877610301574,0.04379987761030682,0.002331467928815556,0.02433885993510243,0.03523861984897661
32,0.01,Curvature,0.03237484689119663,0.0323748468911888,0.0018192985672531026,0.017132385338611944,0.019475277060773177
64,0.01,Arc Length,0.020647222390607456,0.020647222390607456,0.0005507466210234735,0.012880643496192445,0.015275338218501008
64,0.01,Curvature,0.014549751578947445,0.01454975157895344,0.0004602747931122253,0.008667849276627115,0.009341623206479868
128,0.01,Arc Length,0.010127686851526096,0.010127686851548134,0.00013456677979284404,0.006657799769125727,0.007236312954488455
128,0.01,Curvature,0.00712645322812866,0.007126453228128771,0.00013053045003941222,0.0043705798650489625,0.004548121712963926
256,0.01,Arc Length,0.005023538605561151,0.00502353860561866,3.335775468937818e-05,0.0033828743637095426,0.0035268065130066306
256,0.01,Curvature,0.003523830853056298,0.0035238308531152507,3.430476935073479e-05,0.002195037032045488,0.002241718146586358
512,0.01,Arc Length,0.0025031158135110365,0.0025031158134722897,8.260968137233093e-06,0.0017053718729996836,0.001741357494632667
512,0.01,Curvature,0.001751381185537415,0.0017513811855667805,8.986295532031896e-06,0.0011004682421844603,0.0011126203923411682
8,0.001,Arc Length,1.4644403117176972,1.1895391806032767,0.09573168234277007,3.3140408720045906,0.0007636095405307852
8,0.001,Curvature,2.372241615557998,2.372241615557767,0.09720480827863454,1.244381311972586,0.8946404884490031
